WP_No,Date_Time,y_Proj,x_Proj,Elevation,Name,BH_Type,Atm Pressure_mmHg,SPC_MScm,Cond_MScm,pH,Temp_0C,Li_ppb,Be_ppb,B_ppb,Na_ppb,Mg_ppb,Al_ppb,P_ppb,K_ppb,Ca_ppb,Sc_ppb,V_ppb,Cr_ppb,Mn_ppb,Fe_ppb,Co_ppb,Ni_ppb,Cu_ppb,Zn_ppb,As_ppb,Se_ppb,Rb_ppb,Sr_ppb,Y_ppb,Mo_ppb,Cd_ppb,Cs_ppb,Ba_ppb,Re_ppb,Tl_ppb,Pb_ppb,Bi_ppb,Th_ppb,U_ppb,Si_ppm,SiO2_ppm,NH4_ppm,NO3N_ppm,Cl_ppm,HCO3_ppm,F_ppm,NO3_ppm,SO4_ppm,PO4_ppm,S_ppm,CaCO3_ppm,NO2_ppm,TDS_ppm
176,13/08/2024 19:38,2.87546,35.23687,634.85,Nakatom BH,DBH solar,679.3,1224,1363,7.9,33.8,5.1,0.09,51.18,95798.85,7488.71,2.02,141.72,4007.81,10059.28,3.23,22.13,2.48,11.12,86.69,0.12,0.16,2.81,3.12,0.59,2.27,2.24,193.89,0.01,8.44,0.03,1.1,65.84,0.04,0.05,0.14,0.3,0.01,7.14,,,,,,,,,,,,,,749.65
177,13/08/2024 20:13,2.89492,35.26451,623.29,Lorugum BH,SBH pump,680.1,1102,1180,7.4,31.2,36.05,0.71,730.11,127044.42,16945.59,14.53,261.78,11450.42,76885.77,3.57,12.86,6.46,14.48,277.32,0.31,0.74,11.48,21.65,2.03,5.68,10.02,992.85,0.06,5.64,0.26,6.53,185.5,0.1,0.84,2.02,5.22,0.25,2.18,,,,,,,,,,,,,,649
178,14/08/2024 14:27,2.91054,35.41305,556.5,Turkwell community BH,DBH solar,687.3,361,400.3,7.9,33.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.17
179,14/08/2024 15:02,2.92244,35.40286,563.88,Pirshikin BH,SBH pump,687.4,1221,1368,7.4,34.1,2.26,,,127601.3,45968.99,6.94,,9040.83,141213.79,,22.73,,133.92,137.38,0.22,1.42,7.61,42.73,0.32,,1.67,2206.63,,,0.03,,344.49,,,1.17,,,4.71,,,,,,,,,,,,,,752.4
180,14/08/2024 15:33,2.93846,35.39906,563.5,Turkwell Boys Sec BH,DBH solar,687.1,3436,3627,7.5,30.7,17.05,0.09,49.46,231894.61,24511,1.81,133.99,4725.16,36360.88,2.85,20.23,2.59,0.92,123.75,0.48,1.3,6.49,9,0.91,4.27,2.89,800.9,0.02,3.68,0.03,0.89,211.27,0.07,0.1,0.27,0.23,0.01,16.67,21.8,46.6,0.41,15.9,440,727,0.72,70.4,162,0.02,54.2,430,,1994.85
181,14/08/2024 16:02,2.95477,35.42258,554.88,Natirae,DBH solar,686.9,427.5,474.7,8,33.5,14.02,0.33,120.44,48904.45,11752.92,4.24,196.13,4417.84,18615.22,3.74,2.81,5.05,1.16,182.85,0.21,0.36,3.2,24.83,0.81,2.87,4.96,370.95,0.04,8.93,0.08,4.15,40.15,0.03,0.11,0.45,1.29,0.08,1.25,,,,,,,,,,,,,,261.09
183,14/08/2024 16:49,3.00764,35.43575,549.9,Kaitese BH,SBH pump,687.5,1043,1192,7.8,35.3,15.63,,,168053.39,16720.28,48.14,,4347.66,34249.5,,42.11,,79.01,78.95,0.17,1.2,8.25,147.45,0.97,,2.7,641.05,,,0.01,,190.2,,,1.57,,,6.28,,,,,,,,,,,,,,655.6
184,14/08/2024 17:07,3.02095,35.44561,542.64,Kooliyoro BH,DBH solar,687.6,729,825,7.9,34.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,453.75
185,14/08/2024 17:27,3.04542,35.47302,536.41,Kaalochudo Church BH,DBH solar,687.8,1756,2017,7.5,35.7,10.93,0.11,44.33,77713.79,13341.15,2.38,122.73,3240.49,26742.28,1.46,0.25,2.25,6.44,109.63,0.07,0.21,3.09,4.52,0.32,1.86,2.43,653.69,0.03,0.23,0.01,1.2,234.85,0.05,0.07,0.23,0.49,0.02,4.78,31.5,67.4,0.01,0.12,73.1,866,0.22,0.53,70.1,0.01,23.4,332,,1109.35
186,14/08/2024 18:04,3.07568,35.50939,535.33,Nadapal School BH,DBH solar,688,452.9,490.4,7.8,32.2,2.55,0.09,21.13,12924.64,5849.1,2.28,132.74,2336.12,16448.6,1.78,1.68,2.18,38.52,98.07,0.12,0.25,3.17,2.5,0.62,1.86,1.51,210.06,0.01,2.89,0.02,0.94,430.1,0.08,0.05,0.17,0.33,0.01,0.13,,,,,,,,,,,,,,269.72
187,15/08/2024 15:21,2.38317,35.65836,763.08,Kapese Personal BH,DBH solar,671.9,1087,1235,7.4,35,7.1,,,94630.82,44258.12,12.85,,3534.07,75851.86,,85.53,,1.25,59.86,0.11,0.74,2.9,41.16,0.16,,0.94,1219.66,,,0.01,,111.49,,,0.13,,,8.23,,,,,,,,,,,,,,679.25
188,15/08/2024 15:38,2.38499,35.65908,765.22,Kapese Hand Dug well,OHD well,671.5,326.9,346.8,7.8,31.1,18.97,0.57,1778.01,16490.91,3786.46,809.8,367.08,7133.79,39098.06,3.81,30.35,8.28,1.73,388.4,0.66,0.99,4.46,7.21,1.38,5.19,4.48,298.67,0.49,5.36,0.36,1.95,121.8,0.17,0.51,1.5,1.4,0.55,0.57,,,,,,,,,,,,,,190.74
189,15/08/2024 16:53,2.39909,35.64986,771.4,Napatio BH,DBH solar,670.1,1138,1287,7.6,34.8,30.95,0.7,1952.8,156957.02,33488.45,911.55,216.73,9605.85,46701.82,6.81,57.92,7.13,43.57,419.99,0.92,1.31,8.42,67.88,1.05,5.19,6.08,759.56,0.69,30.43,0.49,2.09,139.88,0.22,0.92,2.15,1.56,0.71,11.11,,,,,,,,,,,,,,707.85
190,15/08/2024 17:15,2.42137,35.65254,772.67,Kaedome BH,DBH solar,669.3,727,824,7.6,33.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,453.2
192,15/08/2024 18:04,2.54802,35.64061,756.62,Karoge BH,DBH solar,670.5,1742,1961,7.8,34.3,40.87,0.92,2115.24,380473.08,20031.72,987.82,209.19,13506.78,17058.45,7.88,126.96,7.5,3.58,387.5,1,1.21,12.03,99.78,1.98,5.89,8.44,573.6,0.96,46.65,0.7,2.27,168.64,0.44,1.12,2.44,1.93,1.02,33.8,,,,,,,,,,,,,,1078.55
193,15/08/2024 18:38,2.5973,35.64977,752.57,Elupe Chinese BH,DBH solar,670,3084,3513,7.5,35.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1932.15
194,15/08/2024 18:54,2.61077,35.65147,748.41,Loochwa Chinese BH,DBH solar,670.8,3171,3565,7.4,34.3,67.75,1.34,1941.18,567626.39,100656.68,682.29,213.56,23856.3,85785.86,10,160.91,8.7,15.91,458.36,1.42,2.03,14.38,37.5,2.68,18.06,9.13,1701.72,1.18,47.53,1.09,2.52,117.39,0.72,2.16,2.79,2.35,1.26,149.95,,,,,,,,,,,,,,1960.75
195,15/08/2024 19:28,2.6388,35.64996,746.42,Kaipokot Chinese BH,DBH solar,670.6,2374,2756,7.4,36.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1515.8
196,15/08/2024 19:44,2.70773,35.63642,740.99,Nagetei Church BH,DBH solar,671.3,1680,1889,7.7,34.6,48.39,1.5,2479.23,336461.41,44231.63,1107.54,196.43,17659.06,26932.49,7.49,75.67,8.3,2.8,447.16,1.52,1.88,10.69,102.96,2.2,7.69,10.41,953.62,1.36,49.96,1.23,2.93,11.82,1.01,4.06,3.52,2.71,1.47,37.12,17.9,38.3,0.01,5.11,83.7,768,2.62,22.6,39.8,0.17,13.3,207,,1038.95
197,15/08/2024 20:06,2.74301,35.64614,716.1,Kadokochin chinese BH,DBH solar,673.8,1294,1464,7.9,34.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,805.2
198,15/08/2024 20:49,2.77292,35.63138,700.37,Lochor Emoit Kenha BH,DBH solar,675,1780,2017,7.6,35.1,38.49,0.42,1734.14,324791,34993.85,817.83,198.36,15180.78,25468.91,7.31,96.1,6.85,1.62,358.48,0.44,0.74,9.61,26.4,0.9,5.19,7.17,611.88,0.42,60.55,0.31,1.94,33.84,0.09,0.75,1.36,1.16,0.43,47.84,,,,,,,,,,,,,,1109.35
199,15/08/2024 21:29,2.93106,35.61387,578.46,Loturerei BH,DBH solar,684,1894,2123,7.1,34.6,106.61,0.26,1574.03,323704.74,35939.02,638.87,190.58,21879.44,21186.78,7.21,92.47,6.66,1.52,331.42,0.37,0.77,9.96,18.33,1.47,6.64,10.93,351.92,0.49,6.91,0.17,1.87,17.27,0.07,1.06,1.17,1.03,0.32,7.78,,,,,,,,,,,,,,1167.65
200,17/08/2024 16:03,3.55873,35.14829,659.47,Nadwat Main BH,DBH solar,679.7,2385,3179,7.6,45.5,207.19,0.87,3382.54,487509.45,5494.44,2464.34,174.24,12480.94,13096.87,7.44,9.19,8.2,6.78,671.91,0.35,0.76,12.3,10.72,3.4,4.55,37.69,687.22,0.59,7.06,0.17,5.09,237.89,0.04,1.05,1.38,0.91,0.44,0.32,,,0.19,,185,,12.8,0.01,95.9,0.01,,41.5,0.03,1748.45
201,17/08/2024 16:40,3.4978,35.24052,742.74,Makutano BH,DBH solar,672.5,1263,1420,6.9,34.5,34.07,0.25,1615.36,108944.34,39476.29,667.95,177.98,9723.62,89458.52,6.53,25.09,6.18,1.41,432.45,-0.3,1.03,5.59,7.19,0.62,4.2,6,1387.42,0.31,2.87,0.09,1.81,249.2,0.03,0.82,1.05,0.9,0.21,29.28,,,,,,,,,,,,,,781
202,17/08/2024 17:41,3.53208,35.24392,724.8,Lolupe BH,SBH pump,673.9,1545,1689,7.3,32.6,16.97,0.31,114.12,168009.08,37138.07,6.48,193.37,6838.41,54304.08,3.01,36.07,5.02,55.12,525.66,0.57,1.07,50.47,107.15,0.55,2.81,5.54,697.99,0.03,4.9,0.03,4.53,46.99,0.03,0.12,1.06,0.78,0.04,18.3,,,,,,,,,,,,,,928.95
203,17/08/2024 18:27,3.46349,35.1994,689.9,Kianyang'alo BH,SBH pump,675.5,1618,1820,7.3,34.3,27.16,0.18,1687.13,252569,45759.07,788.38,184.9,9839.12,36888.62,4.47,78.87,6.23,1.55,367.23,0.23,0.93,12.91,8.73,0.65,4.72,5.52,1375.68,0.25,4.63,0.04,1.69,45.33,0.03,0.78,1.04,0.81,0.18,33.82,,,,,,,,,,,,,,1001
204,17/08/2024 19:38,3.52366,35.19547,687.52,Lokudule Hand Well,OHD well,674.5,678,683,7.8,28.4,18.6,0.16,1751.41,70092.68,8627.84,839.43,192.29,5474.5,51523.22,3.49,14.07,6.37,1229.56,436.22,1.34,3.91,4.6,20.15,1.04,3.61,4.69,707.44,0.24,8.63,0.06,1.46,604.84,0.02,0.39,0.85,0.75,0.16,1.97,,,,,,,,,,,,,,375.65
205,18/08/2024 14:40,3.4167,35.32305,711.33,Katururi BH,DBH solar,677.2,1614,1743,7.6,31.6,36.23,0.17,1550.44,157682.18,46987.71,625.71,180.18,7665.19,101356.2,7.67,36.36,5.9,3.76,418.09,0.25,1,7.39,477.38,0.78,4.89,3.71,2110.52,0.18,4.94,0.04,1.4,462.01,0.02,0.89,1.51,0.7,0.12,16.39,,,,,,,,,,,,,,958.65
206,18/08/2024 15:38,3.35761,35.44556,558.44,Nasiger Hand well,OHD well,688.4,817,857,8.2,29.8,17.77,0.14,1850.68,136333.85,2575.77,1070.68,220.56,5212.02,19570.11,3.6,58.72,6.56,11.96,395.17,0.47,2.01,6.75,9.16,1.44,3.15,4.52,929.69,0.24,42.22,0.05,1.31,216.85,0.01,0.63,0.8,0.7,0.14,6.47,,,,,,,,,,,,,,471.35
207,18/08/2024 15:57,3.33457,35.47218,570.4,Nasiger BH main,DBH solar,687.8,2302,2571,7.9,33.9,24.93,0.15,1518.41,261304.14,84895.9,586.22,187.87,4563.28,47443.36,6.59,32.52,6.5,2.47,349.95,0.26,0.87,8.19,74.73,0.82,7.4,8.21,1505.69,0.14,3.62,0.04,1.22,18.76,0.02,0.91,1.16,0.64,0.1,1.34,31.6,67.6,0.01,88.5,244,346,0.67,392,90.5,0.01,30.2,463,,1414.05
208,18/08/2024 16:32,3.28023,35.49248,588.46,Nakwei Hand BH,SBH pump,685.9,891,1017,7.3,34.7,19.6,0.14,1129.52,56655.54,41665.06,567.34,169.17,4280.84,59123.59,6.26,37.28,5.71,1.25,352.22,0.19,0.64,16.5,29,0.45,3.32,5.77,1166.7,0.15,1.85,0.05,1.19,14.85,0.02,0.37,0.5,0.65,0.09,0.96,,,,,,,,,,,,,,559.35
209,18/08/2024 17:04,3.20366,35.49361,549.65,Lokoyo BH,DBH solar,689,1322,1527,7.9,35.9,17,0.13,1129.37,202261.8,27618.73,479.02,163.96,4374.54,24731.46,7.65,149.17,26.49,1.19,284.88,0.15,0.42,6.53,36.89,1.38,5.36,5.73,627.92,0.1,12.8,0.03,1.1,22.23,0.01,0.64,0.58,0.61,0.08,1.42,,,,,,,,,,,,,,839.85
210,20/08/2024 13:28,3.69796,34.93032,688.08,Komotogae BH Solar,DBH solar,678.9,1290,1377,7.5,31.4,27.02,,,145214.37,38634.4,15.45,,5645.3,117685.14,,2.56,,41.92,245.84,0.82,17.73,6.3,115.62,0.59,,10.5,1375.92,,,0.01,,25.03,,,0.63,,,2.15,22.2,47.5,0.15,15.1,50.5,567,3.61,66.8,25.5,0.01,8.51,320,,757.35
211,20/08/2024 14:21,3.66726,35.00327,723.75,Napeto BH,DBH solar,676.9,815,796,7.6,26.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,437.8
212,20/08/2024 14:53,3.63029,35.024,724.32,Kadakung'imoe BH,DBH solar,676.5,1818,1773,7.4,26.9,5.23,0.13,95.54,97659.63,25301.29,5.5,132.78,1607.66,39355.94,1.62,6.36,2.35,1.39,133.85,0.12,0.34,4.93,15.16,0.51,1.37,2.1,742.77,0.04,0.76,0.03,1.23,4.07,0.03,0.12,0.47,0.79,0.03,0.88,,,,,,,,,,,,,,975.15
213,20/08/2024 15:50,3.56224,35.26821,677.17,Ata Erika BH,SBH pump,680.4,1180,1308,7.2,33.5,15.76,0.12,1544.53,70674.88,72226.27,743.62,168.35,3202.79,60631.32,4.62,37.05,6.12,4.98,424.19,0.26,1.16,12.42,261.22,0.56,5.3,3.83,1522.28,0.14,2.99,0.03,1.1,32.31,0.03,0.55,0.81,0.66,0.1,8.18,16,34.2,0.01,7.7,33.8,557,0.48,34.1,51.8,0.01,17.3,464,,719.4
214,20/08/2024 16:57,3.3383,35.23485,593.25,Lomil BH,DBH solar,685.5,894,933,7.2,30.2,22.55,0.15,1408.37,105316.32,12313.59,764.19,167.03,4331.49,57834.95,4.66,11.76,5.86,1.45,389.63,0.19,0.71,6.91,17.44,0.61,3.2,2.81,688.75,0.16,4.98,0.04,0.99,297.84,0.02,0.38,0.66,0.64,0.1,8.54,,,,,,,,,,,,,,513.15
215,20/08/2024 17:53,3.35013,35.25425,610.34,Lomil Girls High Sch BH,SBH pump,684.6,2980,3320,7.9,33.8,47.52,0.17,2429.23,498425.2,22362.65,1544.39,164.45,7669.86,47884.42,4.9,6.7,6.89,46.24,561.87,0.23,0.73,11.7,112.4,1.43,7.92,4.71,1800.67,0.27,27.85,0.03,1.01,94.19,0.02,0.87,7.88,0.53,0.17,14.69,9.1,19.5,0.01,0.03,441,507,4.95,0.13,220,0.01,73.3,205,,1826
216,20/09/2024 15:46,4.15338,34.31418,684.27,Iria BH ,DBH solar,677.4,789,843,7.3,31.8,12.68,0.26,45.54,71877.37,21599.3,4.64,184.15,3721.9,45064.14,4,9.13,5.25,1.41,219.24,0.16,0.45,5.87,78.92,0.51,3.75,6.4,877.18,0.02,2.37,0.03,4.44,77.62,0.02,0.1,0.71,0.86,0.04,0.86,,,,,,,,,,,,,,463.65
217,20/09/2024 16:16,4.17938,34.31065,672.62,Lochor Angamor BH,SBH pump,678.8,674,714,7.4,31,15.18,0.13,1561.49,55239.63,22503.68,743.92,176.28,3436.74,44733.52,4.9,14.14,6.02,2.69,425.16,0.22,0.66,4.52,38.46,0.49,3.73,2.97,600.95,0.18,4.15,0.05,1.02,164.93,0.02,0.49,0.67,0.58,0.15,0.78,20.2,43.2,0.01,5,4.14,328,1.75,22.1,8.75,0.01,2.92,201,,392.7
218,20/09/2024 17:18,4.20819,34.35298,651.21,Lokichogio Main BH,DBH solar,679.7,1034,1107,8,31.7,32.48,0.63,433.61,138811.34,36696.65,4.57,212.17,3639.43,43747.93,4.78,16.92,5.24,0.85,230.8,0.23,0.31,5.7,33.88,1.52,3.86,8.42,1234.44,0.03,1.81,0.1,6.26,48.13,0.05,0.45,1.33,3.43,0.2,1.43,23.2,49.6,0.01,0.94,21.4,569,1.92,4.16,26.5,1.84,8.85,243,,608.85
219,20/09/2024 17:47,4.2093,34.35858,645.87,Lochor Ekaal BH,DBH solar,679.2,935,1023,7.4,32.5,17.94,0.09,1335.98,119471.33,25834.74,738.29,171.45,5061.17,32169.97,4.69,16.45,5.96,1.34,340.26,0.17,0.85,3.91,16.06,0.55,4.55,4.71,986.13,0.16,2.2,0.02,0.78,54.06,0.01,0.23,0.48,0.53,0.1,1.46,,,,,,,,,,,,,,562.65
220,20/09/2024 18:21,4.19264,34.37449,648.46,Akoros BH,DBH solar,678.9,737,784,7.6,31,15.61,0.33,85.84,58092.01,21451.47,4.34,193.94,4495.82,53519.16,4.08,3.67,4.85,1.62,230.04,0.27,0.34,3.4,186.32,0.74,3.42,6.72,1062.71,0.04,1.36,0.04,4.6,18.02,0.03,0.1,1.44,1.2,0.06,0.94,,,,,,,,,,,,,,431.2
222,20/09/2024 19:50,4.39601,34.2947,616.04,Nadapal Main BH,DBH solar,680.2,1442,1575,8,32.9,4.89,0.08,33.23,129879.87,10130.32,4.33,130.05,2733.9,12307.63,2.04,5.69,2.37,0.68,91.3,0.07,0.18,4.27,6.4,0.36,1.2,3,280.15,0.01,0.39,0.03,1.15,35.71,0.03,0.04,0.21,0.34,0.01,1.84,26.2,56.1,0.01,2.84,21.9,842,1.19,12.6,38,0.01,12.7,141,,866.25
224,20/09/2024 20:35,4.38942,34.29798,614.71,,DBH solar,679.2,1370,1494,7.6,32.9,9.4,0.16,118.99,85633.72,10244.96,5.61,141.78,3623.1,11771.38,1.84,39.09,3.58,0.63,96.74,0.08,0.18,3.52,3.65,0.86,2.38,14.74,478.93,0.01,1.28,0.06,1.79,36.25,0.04,0.2,0.48,2.52,0.05,0.42,,,,,,,,,,,,,,821.7
226,21/09/2024 14:31,4.09303,34.29693,718.77,Locher Amoni BH,DBH solar,675.7,1718,1780,7.6,30,14.62,0.1,1520.11,52550,7193.68,789.68,210.33,5360.35,30387.83,3.3,12.06,5.89,14.68,360.23,0.45,2.24,5.2,42.84,0.46,3.85,2.98,263.77,0.21,5.63,0.02,0.79,71.62,0.02,0.35,0.61,0.61,0.1,0.59,26.4,56.5,0.01,0.04,51.4,923,1.44,0.15,104,0.01,34.7,338,,979
227,21/09/2024 15:21,4.09094,34.30392,717.65,Locher Hand Dug well,OHD well,675,478.7,492.6,7.8,29.4,2.61,0.34,27.27,23096.62,4593.24,2296.77,266.23,2791.32,18575.94,1.42,11,6.15,136.75,1191,3.08,5.57,7.47,6.93,0.31,1.97,3.54,184.93,2.17,0.53,0.03,1.18,337.55,0.06,0.09,0.77,0.42,0.11,0.3,11,23.5,0.26,0.17,2.19,310,0.33,0.75,12.6,0.01,4.22,249,,270.93
228,21/09/2024 16:17,4.13303,34.31513,694.79,Iria Hand Dug well,OHD well,676.5,669,682,7.3,28.6,14.19,0.15,1461.35,9624.86,14032.36,747.3,193.79,7266.04,94895.12,3.49,7.75,6,25.77,437.79,0.39,1.12,3.58,50.95,0.39,4.43,3.02,595.74,0.23,1.46,0.03,0.81,,0.01,0.23,0.58,0.56,0.1,0.89,,,,,,,,,,,,,,375.1
230,21/09/2024 17:59,3.95255,34.3418,825.59,Loteteleit Bh,DBH solar,664.8,1261,1337,7.2,31.3,20.38,0.12,1468.78,78814.33,55062.05,618.15,168.53,4726.9,84946.34,6.06,21.41,5.68,1.42,396.2,0.25,0.92,5.56,20.07,0.52,4.14,4.03,1043.46,0.14,1.51,0.01,0.87,88,0.02,0.71,0.85,0.56,0.08,1.67,34.5,73.8,0.01,4.7,78.2,559,0.55,20.8,36.5,1.78,12.2,458,,735.35
231,22/09/2024 15:38,4.19704,34.49212,592.33,Nacamacha BH,DBH solar,683.7,1185,1329,7.6,34.5,10.71,0.09,38.06,71418.53,15528.43,2.15,128.52,2643.9,21433.72,2,9.33,2.35,2.46,105.87,0.07,0.18,2.86,7.72,0.37,1.45,2.8,352.25,0.02,2.01,0.02,1.21,35.75,0.03,0.06,0.17,0.36,0.01,2.42,,,,,,,,,,,,,,730.95
232,22/09/2024 16:12,4.21274,34.55158,565.64,Nakodopus BH,DBH solar,685.2,1294,1364,8,30.5,7.4,0.14,50.55,86783.18,11810.22,2.83,134.42,2828.34,13608.16,3.05,15.35,2.74,0.92,97.96,0.14,0.26,3.17,13.7,0.5,1.5,2.86,286.36,0.01,1.8,0.02,1.33,10.25,0.03,0.03,0.26,0.62,0.02,1.78,26.9,57.5,0.01,4.44,14.4,743,0.66,19.7,46.1,0.28,15.4,198,,750.2
233,22/09/2024 17:03,4.20717,34.56712,564.48,Nanaam Publica BH,DBH solar,685,2146,2524,8.2,37,47.63,0.32,156.14,425321.24,2234.88,10.03,212.84,3659.4,6569.47,5.53,57.71,31.08,1.37,167.24,0.16,0.2,15.39,6.89,7.14,4.75,7.86,237.71,0.03,3.13,0.07,5.61,21.63,0.03,0.32,0.81,0.8,0.03,4.51,27.8,59.5,0.01,6.08,178,786,2.25,26.9,117,0.01,39.1,24.4,,1388.2
234,22/09/2024 17:35,4.21337,34.5629,565.05,Nanaam Hand Dug well,OHD well,684.7,780,848,7.8,32.3,15.05,0.11,1807.98,109970.38,6607.71,841.51,184.75,5555.25,31076.35,3.56,13.65,6,991.5,371.65,1.62,4.35,4.75,3.84,0.62,3.03,3.36,493.8,0.26,12,0.03,0.88,802.96,0.01,0.32,2.25,0.56,0.11,1.07,14.3,30.6,0.01,0.08,15.7,392,1.93,0.35,6.95,0.01,2.32,98.4,,466.4
236,23/09/2024 15:03,4.01781,34.54827,609.74,Lokudule Main BH,DBH solar,682.6,1417,1589,7.5,34.2,177.2,6.25,55.96,230069.81,7023.75,521,190.47,31703.97,40141.77,2.9,0.73,5.07,14.13,382.21,0.3,0.63,6.2,43.45,4.59,3.15,118.88,718.53,0.41,2.43,0.04,9.1,116.37,0.02,0.2,0.46,0.94,0.13,0.06,,,,,,,,,,,,,,873.95
237,23/09/2024 15:29,3.88665,34.56485,679.93,Natiira BH,DBH solar,677.1,918,989,7.8,31.9,6.67,0.12,46.52,53572.13,14101.42,13.42,133.43,2121.82,16158.28,2.11,12.81,2.51,1.42,107.58,0.07,0.24,2.33,40.41,0.47,2,6.26,317.31,0.01,1.72,0.01,1.32,,0.02,0.05,0.38,0.69,0.02,1.27,,,,,,,,,,,,,,543.95
238,23/09/2024 16:51,3.81721,34.37585,856.93,Oropoi Bh,DBH solar,661,789,852,7.7,32.1,22.6,0.38,75.9,41323.41,38044.04,4.56,204.18,8951.29,48059.43,3.54,16.5,5.09,2.83,229.81,0.17,0.35,3.16,77.12,0.6,3.42,13.3,1034.15,0.08,2.56,0.03,4.16,116.15,0.04,0.11,0.44,1.08,0.06,1.23,17.2,36.8,0.01,1.91,5.3,430,0.66,8.46,12.5,0.01,4.16,303,,468.6
239,23/09/2024 17:33,3.85145,34.55655,675.85,Kalobakori,SBH pump,675.3,1537,1720,7.2,34.2,24.55,0.12,1501.6,131680.2,53739.87,641.34,161.37,5715.42,76011.9,5.74,19.48,5.87,4.22,423.47,0.28,1.09,13.87,1382.81,0.68,3.9,14.13,1717.29,0.13,0.96,0.12,0.75,226.84,0.03,0.78,0.88,0.52,0.09,1.21,30.1,64.4,0.01,19.8,114,609,0.32,87.7,8.78,1.32,2.93,440,,946
240,23/09/2024 18:25,3.7552,34.6674,656.9,Kalobeyei BH,DBH solar,675,1137,1340,7.4,37.4,16.54,0.14,1334.83,159884.59,19243.7,633.47,166.8,6581.51,22927.82,4.58,87.9,7.85,1.32,313.72,0.19,0.47,5.29,19.04,0.87,4.25,28.58,797.62,0.12,2.23,0.01,0.76,7.88,0.01,0.71,0.66,0.53,0.08,0.89,,,,,,,,,,,,,,737
241,24/09/2024 15:32,3.8756,35.46069,652.56,Napalakipor,SBH pump,679.6,1732,1931,7.6,33.9,14.35,0.14,1320.93,278193.75,39620.67,635.17,167.08,3187.2,22345.33,5.11,49.97,5.86,1.45,303.81,0.17,0.44,8.74,10.36,0.5,4.2,3.84,604.09,0.14,3.91,0.02,0.67,85.93,0.01,0.67,0.64,0.5,0.08,4.73,13.5,28.9,0.01,6.38,46.8,530,0.52,28.2,27.2,0.01,9.08,138,,1062.05
242,24/09/2024 16:11,3.97428,35.47921,684.69,Kaeris BH,DBH solar,676.9,1480,1690,7.8,35.4,4.91,0.08,79.21,137854.56,5742.04,5.39,135.92,2018.64,8642.27,1.62,13.72,2.72,0.51,81.08,0.06,0.13,3.66,27.9,0.39,2.3,3.67,138.24,0.01,10.21,0.03,1.16,15.17,0.02,0.05,0.25,0.27,0.01,11.01,,,,,,,,,,,,,,929.5
243,24/09/2024 16:57,4.1401,35.47044,688.14,Mlima Tatu BH,SBH pump,676,1170,1282,7.4,33,20.7,0.14,1781.07,158570.95,18770.82,918.25,158.89,6669.37,48148.58,4.55,5.01,5.94,8.57,439.35,0.3,1.09,18.23,95.78,0.58,3.55,4.21,702.33,0.22,7.48,0.05,0.71,43.88,0.01,0.59,0.73,0.52,0.1,2.97,15.8,33.8,0.01,1.99,50,441,2.31,8.81,51.8,0.95,17.3,179,,705.1
244,24/09/2024 17:36,4.26792,35.49667,689.25,Lokapelpus,DBH solar,675.2,1552,1609,7.6,33.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,884.95
245,24/09/2024 18:28,4.34465,35.59576,606.1,KajukJuk Kenha BH,DBH solar,680.8,1545,1803,8.1,36.3,8.24,0.13,98.68,123106.57,8260.67,3.75,128.55,2056.11,8331.24,2.01,6.79,2.4,0.49,88.78,0.06,0.24,4.18,2.51,1.03,3.06,3.55,326.23,0.01,8.37,0.04,1.64,26.91,0.03,0.15,0.34,1.26,0.03,1.14,14.3,30.6,0.01,10.9,98,409,1.34,48.3,26.5,0.01,8.84,87.9,,991.65
247,25/09/2024 13:27,4.26693,35.75515,721.74,Ngabwelin Spring,Spring,675,2372,2472,7.2,30.2,15.11,0.12,1308.82,161738.55,71907.79,481.12,162.25,2821.9,152181.1,6.86,53.25,5.45,9.33,465.05,0.3,1.22,6.21,15.48,0.94,8.27,2.25,887.75,0.15,1.51,0.04,0.68,91.98,0.04,0.87,0.94,0.49,0.06,1.17,40.1,85.8,0.01,29,370,461,0.54,128,113,1.72,37.8,634,,1359.6
248,25/09/2024 13:57,4.26199,35.74087,776.39,Shabaha Likituang BH,SBH pump,670.8,2356,2610,6.7,33.3,18.44,0.11,1376.19,157667.45,82061.86,530.66,157.78,1996.72,167796.05,7.05,25.51,5.55,2.12,497,0.26,1.32,13.97,40.56,1.04,6.93,2.8,1460.15,0.14,1.72,0.02,0.59,8.01,0.03,0.8,0.85,0.46,0.06,2.17,,,,,,,,,,,,,,1435.5
